text,label
" However, that architecture introduced a new bottleneck: the host CPU was responsible for constructing each segment bitset and transferring it to the device over the PCIe bus","A Lock-Free, Fully GPU-Resident Architecture for the Verification of Goldbach’s Conjecture"
" On high-bandwidth GPUs, kernels completed in fractions of a millisecond and then idled, waiting for the CPU to supply the next segment","A Lock-Free, Fully GPU-Resident Architecture for the Verification of Goldbach’s Conjecture"
" As explicitly documented in [ 4], adding a second high-end GPU (H100) produced no meaningful speedup over a single RTX 3090 at N = 1010, because both configurations were saturating the CPU sieve rather than the GPU compute units","A Lock-Free, Fully GPU-Resident Architecture for the Verification of Goldbach’s Conjecture"
 1 arXiv:2603,"A Lock-Free, Fully GPU-Resident Architecture for the Verification of Goldbach’s Conjecture"
07850v1  [cs,"A Lock-Free, Fully GPU-Resident Architecture for the Verification of Goldbach’s Conjecture"
MS]  8 Mar 2026,"A Lock-Free, Fully GPU-Resident Architecture for the Verification of Goldbach’s Conjecture"
This paper proposes an architecture that eliminates the host-device dependency entirely,"A Lock-Free, Fully GPU-Resident Architecture for the Verification of Goldbach’s Conjecture"
" By migrating the segmented sieve into GPU L1 shared memory and coupling it with a decentralised, lock-free work-stealing pool, we decouple the GPU computation from the CPU completely","A Lock-Free, Fully GPU-Resident Architecture for the Verification of Goldbach’s Conjecture"
" We detail the architectural design, the mathematical bounds required to ensure verification soundness up to 1","A Lock-Free, Fully GPU-Resident Architecture for the Verification of Goldbach’s Conjecture"
"84×10 19, the CLI interface introduced for deployment flexibility, and the resulting performance in Blackwell-era hardware","A Lock-Free, Fully GPU-Resident Architecture for the Verification of Goldbach’s Conjecture"
 2 Related Work CPU-based verification,"A Lock-Free, Fully GPU-Resident Architecture for the Verification of Goldbach’s Conjecture"
"The academic record for exhaustive Goldbach verification is 4 × 1018 [3], achieved through highly cache-efficient segmented sieves with bitwise bulk-marking, targeting O(Nlog logN ) complexity with small constants","A Lock-Free, Fully GPU-Resident Architecture for the Verification of Goldbach’s Conjecture"
 Earlier milestones include Richstein’s verification to 4 × 1014 [5],"A Lock-Free, Fully GPU-Resident Architecture for the Verification of Goldbach’s Conjecture"
" These CPU approaches benefit from decades of cache-hierarchy tuning and are extremely competitive at moderate scales; however, they require large distributed clusters to push the frontier meaningfully beyond 10 15","A Lock-Free, Fully GPU-Resident Architecture for the Verification of Goldbach’s Conjecture"
 GPU-based approaches,"A Lock-Free, Fully GPU-Resident Architecture for the Verification of Goldbach’s Conjecture"
"Jarzabek and Czarnul [ 6] evaluated CUDA unified memory and dynamic parallelism using Goldbach verification as one of three benchmark applications, but did not target the verification frontier; they verified 10 4 numbers, at different starting points","A Lock-Free, Fully GPU-Resident Architecture for the Verification of Goldbach’s Conjecture"
 Czarnul et al,"A Lock-Free, Fully GPU-Resident Architecture for the Verification of Goldbach’s Conjecture"
" [7] used Goldbach as a teaching vehicle across MPI, OpenMP, and CUDA student implementations, testing up to 2 ","A Lock-Free, Fully GPU-Resident Architecture for the Verification of Goldbach’s Conjecture"
"5 × 108, and observed that student CUDA implementations achieved average times of approximately 100 s for that range","A Lock-Free, Fully GPU-Resident Architecture for the Verification of Goldbach’s Conjecture"
 A structurally distinct approach is taken by Jesus et al,"A Lock-Free, Fully GPU-Resident Architecture for the Verification of Goldbach’s Conjecture"
" [ 8], who employ number-theoretic transforms (NTTs) tocountGoldbach partitions (i","A Lock-Free, Fully GPU-Resident Architecture for the Verification of Goldbach’s Conjecture"
e,"A Lock-Free, Fully GPU-Resident Architecture for the Verification of Goldbach’s Conjecture"
", compute a full histogram of the number of representations) for all even integers up to 2 40 ≈ 1012, running on Arm-based HPC clusters","A Lock-Free, Fully GPU-Resident Architecture for the Verification of Goldbach’s Conjecture"
" Counting partitions is algorithmically and computationally different from existence verification: it is a stronger result (a nonzero count implies verification), but requires large-scale distributed Arm CPU infrastructure rather than commodity GPU hardware","A Lock-Free, Fully GPU-Resident Architecture for the Verification of Goldbach’s Conjecture"
 None of these frameworks demonstrated exhaustive existence verification beyond 10 11 on a single commodity device; the obstacles preventing this (VRAM exhaustion from monolithic prime-table storage and the resulting inability to scale the verified range) are documented in our prior work [4],"A Lock-Free, Fully GPU-Resident Architecture for the Verification of Goldbach’s Conjecture"
 GoldbachGPU v1,"A Lock-Free, Fully GPU-Resident Architecture for the Verification of Goldbach’s Conjecture"
"Our prior work [ 4] resolved the VRAM ceiling via a segmented double-sieve: the prime table was replaced by a fixed 14 MB segment bitset, regenerated per segment on the CPU and transferred to the GPU","A Lock-Free, Fully GPU-Resident Architecture for the Verification of Goldbach’s Conjecture"
 This enabled exhaustive verification to 10 12 on an RTX 3070,"A Lock-Free, Fully GPU-Resident Architecture for the Verification of Goldbach’s Conjecture"
" However, scaling to additional GPUs was limited by the CPU sieve: at N = 1010, a single H100 and a single RTX 3090 took essentially the same wall- clock time ( ≈19 s), confirming that GPU compute was not the bottleneck","A Lock-Free, Fully GPU-Resident Architecture for the Verification of Goldbach’s Conjecture"
 The present work removes this bottleneck entirely by moving the sieve to the GPU,"A Lock-Free, Fully GPU-Resident Architecture for the Verification of Goldbach’s Conjecture"
" 3 Systems Architecture The proposed framework transitions from a sequential, host-orchestrated loop to a fully decentralised, asynchronous multi-GPU pipeline","A Lock-Free, Fully GPU-Resident Architecture for the Verification of Goldbach’s Conjecture"
 Figure 1 illustrates the high-level architecture,"A Lock-Free, Fully GPU-Resident Architecture for the Verification of Goldbach’s Conjecture"
 3,"A Lock-Free, Fully GPU-Resident Architecture for the Verification of Goldbach’s Conjecture"
"1 GPU-Native Segment Sieving via L1 Shared Memory In the prior architecture, the segment prime bitset (representing odd numbers in [ A, B]) was constructed by a segmented Sieve of Eratosthenes running on the host CPU","A Lock-Free, Fully GPU-Resident Architecture for the Verification of Goldbach’s Conjecture"
 Every segment required 2,"A Lock-Free, Fully GPU-Resident Architecture for the Verification of Goldbach’s Conjecture"
Host Setup (Precompute Small Primes) Lock-Free Atomic Pool fetch add(segment) New in v2,"A Lock-Free, Fully GPU-Resident Architecture for the Verification of Goldbach’s Conjecture"
"0 GPU-Native Tiled Sieve (Built in L1 Shared Memory) Phase 1 Verification (Oracle checks q = n−p ) Unverified n > 0? Phase 2 CPU Fallback (Optimized Sieve + MR) Assign[A, B] Device Reduction No (Zero-Copy Fast Path) Yes (PCIe D2H Transfer) Resolved Figure 1: High-level decoupled architecture of GoldbachGPU v2","A Lock-Free, Fully GPU-Resident Architecture for the Verification of Goldbach’s Conjecture"
0,"A Lock-Free, Fully GPU-Resident Architecture for the Verification of Goldbach’s Conjecture"
" In contrast to v1, where the CPU sieved each segment and transferred the resulting bitset via PCIe, v2","A Lock-Free, Fully GPU-Resident Architecture for the Verification of Goldbach’s Conjecture"
0 generates segment bitsets natively in GPU L1 Shared Memory,"A Lock-Free, Fully GPU-Resident Architecture for the Verification of Goldbach’s Conjecture"
 A device-side reduction step creates a “Zero-Copy Fast Path” that entirely bypasses the host-device bus during normal operation,"A Lock-Free, Fully GPU-Resident Architecture for the Verification of Goldbach’s Conjecture"
 a full Host-to-Device PCIe transfer before the GPU kernel could begin,"A Lock-Free, Fully GPU-Resident Architecture for the Verification of Goldbach’s Conjecture"
 We resolve this by migrating the sieve entirely to the device via tiled sieve segment kernel,"A Lock-Free, Fully GPU-Resident Architecture for the Verification of Goldbach’s Conjecture"
" The segment is divided into tiles of 32 ,768 odd numbers, each represented as a 4 KB bitset, sized to fit comfortably within the 48 KB of L1 shared memory available per Streaming Multiprocessor (SM) on Ada Lovelace and Blackwell architectures, while leaving headroom for the thread block’s register file and simultaneously- resident tiles","A Lock-Free, Fully GPU-Resident Architecture for the Verification of Goldbach’s Conjecture"
" Each tile is loaded directly into shared memory ( sh tile), and GPU threads collaboratively sieve it using a permanently resident, read-only array of base primes","A Lock-Free, Fully GPU-Resident Architecture for the Verification of Goldbach’s Conjecture"
" Once a tile is fully sieved, coalesced writes flush the result to the global VRAM segment buffer","A Lock-Free, Fully GPU-Resident Architecture for the Verification of Goldbach’s Conjecture"
 This design eliminates PCIe transfers from the critical path,"A Lock-Free, Fully GPU-Resident Architecture for the Verification of Goldbach’s Conjecture"
" Per segment, the CPU issues only an 8-byte atomic starting index and receives a 4-byte result from the device-side reduction kernel","A Lock-Free, Fully GPU-Resident Architecture for the Verification of Goldbach’s Conjecture"
" During Phase 1, the host uploads the current batch of small primes to a device staging buffer (d p batch); for the experiment parameters (PSMALL = 106, PBATCH = 2×106), with PSMALL corresponding to 78 498 primes, each batch consists of min(78 498, PBATCH) × 8 bytes ≈ 628 KB, a constant per-segment overhead that replaces the variable 14 MB segment bitset transfer of the v1 architecture [ 4]","A Lock-Free, Fully GPU-Resident Architecture for the Verification of Goldbach’s Conjecture"
" Operationally, the count unverified kernel evaluates the results directly in device memory","A Lock-Free, Fully GPU-Resident Architecture for the Verification of Goldbach’s Conjecture"
" Rather than employing a complex shared-memory reduction tree, it uses a flat, per-thread atomicAdd to accumulate unverified entries into a single 32-bit counter","A Lock-Free, Fully GPU-Resident Architecture for the Verification of Goldbach’s Conjecture"
" Because empirical results show that Phase 1 verification practically never fails, this branch is virtually never taken, meaning global atomic contention is zero","A Lock-Free, Fully GPU-Resident Architecture for the Verification of Goldbach’s Conjecture"
" The kernel writes this scalar result into a preallocated buffer, and the host retrieves this value via a single cudaMemcpyAsync call (with a 3","A Lock-Free, Fully GPU-Resident Architecture for the Verification of Goldbach’s Conjecture"
"subsequent stream synchronisation to ensure the scalar is visible before the conditional branch), determining whether Phase 2 must be invoked","A Lock-Free, Fully GPU-Resident Architecture for the Verification of Goldbach’s Conjecture"
" Figure 2 gives a comprehensive view of the system’s memory boundaries, threading model, and kernel execution flow for a single GPU worker","A Lock-Free, Fully GPU-Resident Architecture for the Verification of Goldbach’s Conjecture"
" During initialisation, the host allocates device memory and issues an asynchronous host →device copy of the small -primes bitset and supporting arrays; these structures remain resident and read -only on the device for the worker’s lifetime","A Lock-Free, Fully GPU-Resident Architecture for the Verification of Goldbach’s Conjecture"
" The host spawns one std::thread per physical GPU, each binding to a distinct GPU context and coordinating work via a 64 -bit atomic counter ( g next seg start) claimed with fetch add","A Lock-Free, Fully GPU-Resident Architecture for the Verification of Goldbach’s Conjecture"
" In steady state the GPU executes entirely on-device, building tiled segment bitsets in L1 shared memory and running a device -side reduction kernel ( count unverified kernel) that writes a small integer result","A Lock-Free, Fully GPU-Resident Architecture for the Verification of Goldbach’s Conjecture"
" If the reduction reports any unverified entries, the pipeline performs a PCIe device →host transfer and the host invokes the Phase -2 CPU resolver; if the reduction reports zero, execution follows the zero-copy fast path and avoids PCIe traversal","A Lock-Free, Fully GPU-Resident Architecture for the Verification of Goldbach’s Conjecture"
 The diagram also shows the Phase -2 resolution path that returns control to the worker loop and the abort path used for unrecoverable failures,"A Lock-Free, Fully GPU-Resident Architecture for the Verification of Goldbach’s Conjecture"
 4,"A Lock-Free, Fully GPU-Resident Architecture for the Verification of Goldbach’s Conjecture"
"Host Memory (CPU) Device Memory (GPUi) CLI Parse & Hard- ware Validate (VRAM &2 32 Grid Bounds) Generate Small Primes Bitset Generate CPU Phase 2 Primes std::atomic Work Queue (g next seg start) Spawn Nstd::threads(1 per GPU) Worker: Fetch Next Segment fetch add() Phase 2 CPU Fallback Binary Search (108 primes) 128-bit CPU Miller-Rabin Abort Program Allocate VRAM: d seg bits, dverified","A Lock-Free, Fully GPU-Resident Architecture for the Verification of Goldbach’s Conjecture"
,"A Lock-Free, Fully GPU-Resident Architecture for the Verification of Goldbach’s Conjecture"
,"A Lock-Free, Fully GPU-Resident Architecture for the Verification of Goldbach’s Conjecture"
 One-Time Async Copy: Small Primes Bitset & Sieve Primes tiled sieve segment kernel (Builds Segment Bitset via L1) goldbach phase1 kernel (Iterates prime batches; checks q = n−p ) count unverified kernel (Flat atomic accumulation of unverified n) Unverified Count > 0? Atomic Access No (Zero-Copy Fast Path) Yes (PCIe D2H Transfer) Copyd verifiedarray Resolved Counterexample found Figure 2: Explicit systems architecture and execution pipeline for a single GPU worker in GoldbachGPU v2,"A Lock-Free, Fully GPU-Resident Architecture for the Verification of Goldbach’s Conjecture"
0,"A Lock-Free, Fully GPU-Resident Architecture for the Verification of Goldbach’s Conjecture"
 Host threads (one per GPU) coordinate via an atomic work queue; initialisation performs VRAM allocation and async host →device copies,"A Lock-Free, Fully GPU-Resident Architecture for the Verification of Goldbach’s Conjecture"
" The GPU runs device -side kernels that build segment bitsets in L1; a device reduction decides whether to trigger a PCIe device →host transfer and CPU Phase-2 fallback, otherwise a zero-copy fast path avoids PCIe","A Lock-Free, Fully GPU-Resident Architecture for the Verification of Goldbach’s Conjecture"
 3,"A Lock-Free, Fully GPU-Resident Architecture for the Verification of Goldbach’s Conjecture"
2 Lock-Free Asynchronous Work-Stealing Pool Static workload partitioning (assigning N/k integers to each of k GPUs) is a well-known anti-pattern in heterogeneous computing,"A Lock-Free, Fully GPU-Resident Architecture for the Verification of Goldbach’s Conjecture"
" Silicon binning, thermal throttling, or heterogeneous GPU generations cause variance in per-segment completion time, stalling the entire system on the slowest device","A Lock-Free, Fully GPU-Resident Architecture for the Verification of Goldbach’s Conjecture"
 We implement a lock-free work-stealing pool,"A Lock-Free, Fully GPU-Resident Architecture for the Verification of Goldbach’s Conjecture"
" A single atomic 64-bit counter ( g next seg start, typed as std::atomic<uint64 t>) is maintained in host memory","A Lock-Free, Fully GPU-Resident Architecture for the Verification of Goldbach’s Conjecture"
 The system spawns one inde- 5,"A Lock-Free, Fully GPU-Resident Architecture for the Verification of Goldbach’s Conjecture"
pendent C++ std::thread per physical GPU context,"A Lock-Free, Fully GPU-Resident Architecture for the Verification of Goldbach’s Conjecture"
" Upon completing a segment, each worker performs an atomic fetch add to claim the next segment","A Lock-Free, Fully GPU-Resident Architecture for the Verification of Goldbach’s Conjecture"
" This guarantees near-100% device utilisation across all accelerators without mutex contention, and automatically re-balances load when GPUs run at different speeds","A Lock-Free, Fully GPU-Resident Architecture for the Verification of Goldbach’s Conjecture"
 A dedicated asynchronous progress-monitor thread periodically prints throughput statistics with- out blocking the GPU workers,"A Lock-Free, Fully GPU-Resident Architecture for the Verification of Goldbach’s Conjecture"
 A mutex-guarded safe log variadic template prevents interleaved console output when multiple GPUs simultaneously report anomalies,"A Lock-Free, Fully GPU-Resident Architecture for the Verification of Goldbach’s Conjecture"
" Worker Loop Pseudocode Algorithm 1Worker loop for a single GPU context 1:whiletruedo 2:A←fetch add(g next seg start,2×SEG SIZE) 3:ifA >LIMITthen break 4:end if 5:launchtiled sieve segment kernel(A, B) 6:cudaMemset(d verified, 0) 7:forb i = 0to|gpu primes|stepP BATCH do 8:cudaMemcpyAsync(d p batch←host batch) 9:launchgoldbach phase1 kernel(d p batch) 10:end for 11:cudaMemset(d unverified count, 0) 12:launchcount unverified kernel(d verified) 13:count←cudaMemcpyAsync(d unverified count→host) 14:ifcount >0then 15:cudaMemcpy(d verified→host) 16:Phase2 CPU resolver() 17:end if 18:end while 3","A Lock-Free, Fully GPU-Resident Architecture for the Verification of Goldbach’s Conjecture"
3 Phase 2: Optimised CPU Fallback Phase 1 (GPU) restricts its search to candidate primes p≤P SMALL,"A Lock-Free, Fully GPU-Resident Architecture for the Verification of Goldbach’s Conjecture"
" If no valid q = n−p is found, the number n is returned to the host","A Lock-Free, Fully GPU-Resident Architecture for the Verification of Goldbach’s Conjecture"
 The prior architecture relied on an exhaustive trial division up ton/2; mathematically complete but extremely slow,"A Lock-Free, Fully GPU-Resident Architecture for the Verification of Goldbach’s Conjecture"
 The revised Phase 2 fundamentally changes this heuristic,"A Lock-Free, Fully GPU-Resident Architecture for the Verification of Goldbach’s Conjecture"
" Before any worker threads launch, the host eagerly pre-computes an array of all primes up to 10 8","A Lock-Free, Fully GPU-Resident Architecture for the Verification of Goldbach’s Conjecture"
" If a fallback occurs, the CPU performs a binary search against this array","A Lock-Free, Fully GPU-Resident Architecture for the Verification of Goldbach’s Conjecture"
" If q >108, it falls back to a 128-bit CPU-side deterministic Miller-Rabin test using the same 12-witness set as the GPU oracle","A Lock-Free, Fully GPU-Resident Architecture for the Verification of Goldbach’s Conjecture"
 This reduces the worst-case Phase 2 resolution time,"A Lock-Free, Fully GPU-Resident Architecture for the Verification of Goldbach’s Conjecture"
" In practice, Phase 2 is never invoked when PSMALL ≥ 106, as the Goldbach comet envelope [3] guarantees that a small-prime partition exists for allnin the tested range","A Lock-Free, Fully GPU-Resident Architecture for the Verification of Goldbach’s Conjecture"
 3,"A Lock-Free, Fully GPU-Resident Architecture for the Verification of Goldbach’s Conjecture"
"4 Correctness Guarantees and Overflow Safety Pushing verification toward 1019 introduces severe risks of silent 64-bit integer overflow; an undetected overflow may either falsely flag a counterexample or, critically, skip a true one","A Lock-Free, Fully GPU-Resident Architecture for the Verification of Goldbach’s Conjecture"
 We introduce strict mathematical guards at two levels,"A Lock-Free, Fully GPU-Resident Architecture for the Verification of Goldbach’s Conjecture"
 6,"A Lock-Free, Fully GPU-Resident Architecture for the Verification of Goldbach’s Conjecture"
Sieve arithmetic,"A Lock-Free, Fully GPU-Resident Architecture for the Verification of Goldbach’s Conjecture"
"The starting index for marking multiples of a prime p involves computing p2, which overflows a 64-bit integer for p >232","A Lock-Free, Fully GPU-Resident Architecture for the Verification of Goldbach’s Conjecture"
 We replace all multiplicative bounds with division- bounded guards (e,"A Lock-Free, Fully GPU-Resident Architecture for the Verification of Goldbach’s Conjecture"
g,"A Lock-Free, Fully GPU-Resident Architecture for the Verification of Goldbach’s Conjecture"
", the loop continues only while p≤q high/p)","A Lock-Free, Fully GPU-Resident Architecture for the Verification of Goldbach’s Conjecture"
" Similarly, the step calculation aligning primes with the current tile boundary enforces a strict INT64 MAX boundary, ensuring no pointer arithmetic wraps near the 2 64 −1 ceiling","A Lock-Free, Fully GPU-Resident Architecture for the Verification of Goldbach’s Conjecture"
 128-bit Miller–Rabin oracle,"A Lock-Free, Fully GPU-Resident Architecture for the Verification of Goldbach’s Conjecture"
"The Miller–Rabin primality test [ 9] is probabilistic in general, but for 64-bit integers a deterministic witness set is known [ 10]","A Lock-Free, Fully GPU-Resident Architecture for the Verification of Goldbach’s Conjecture"
" For candidate primes q > PSMALL, both the GPU and CPU fallback rely on this 12-base deterministic variant, which is proven to yield zero false positives for all n <264 [10]","A Lock-Free, Fully GPU-Resident Architecture for the Verification of Goldbach’s Conjecture"
" The modular multiplication ( a×b ) modn requires a 2 × 64 = 128-bit intermediate product, which we compute via explicit uint128 t casting","A Lock-Free, Fully GPU-Resident Architecture for the Verification of Goldbach’s Conjecture"
" Because native 128-bit arithmetic would overflow for n≳ 264, and because the 12-base witness set is only certified up to that bound, we formally document 1 ","A Lock-Free, Fully GPU-Resident Architecture for the Verification of Goldbach’s Conjecture"
84 × 1019 (≈ 263,"A Lock-Free, Fully GPU-Resident Architecture for the Verification of Goldbach’s Conjecture"
"8) as the absolute, provable upper limit of this framework","A Lock-Free, Fully GPU-Resident Architecture for the Verification of Goldbach’s Conjecture"
 Graceful error handling,"A Lock-Free, Fully GPU-Resident Architecture for the Verification of Goldbach’s Conjecture"
"The prior CUDA CHECK macro called std::exit(1) on failure, cor- rupting process state and preventing resource cleanup across threads","A Lock-Free, Fully GPU-Resident Architecture for the Verification of Goldbach’s Conjecture"
" All CUDA error checks now throw std::runtime error, allowing failed GPU workers to release their VRAM allocations and locks cleanly before the main thread reports the hardware failure","A Lock-Free, Fully GPU-Resident Architecture for the Verification of Goldbach’s Conjecture"
 3,"A Lock-Free, Fully GPU-Resident Architecture for the Verification of Goldbach’s Conjecture"
5 Deployment and CLI Interface Version 2,"A Lock-Free, Fully GPU-Resident Architecture for the Verification of Goldbach’s Conjecture"
"0 introduces an extended command-line interface targeting flexible deployment scenarios, including targeted range verification and multi-node job scheduling","A Lock-Free, Fully GPU-Resident Architecture for the Verification of Goldbach’s Conjecture"
 The primary invocation pattern is: ,"A Lock-Free, Fully GPU-Resident Architecture for the Verification of Goldbach’s Conjecture"
"/ goldbach [ OPTIONS ] LIMIT The key flags introduced in this version are summarised below, with a representative invocation: # Verify [10^12 , 2 x10 ^12] using 2 GPUs , with live progress output ","A Lock-Free, Fully GPU-Resident Architecture for the Verification of Goldbach’s Conjecture"
"/ goldbach -- gpus =2 -- start =1000000000000 -- progress 2000000000000 Key flags: •--gpus=N : Restrict execution to N physical GPUs (default: 1), or all of them ( --gpus=-1)","A Lock-Free, Fully GPU-Resident Architecture for the Verification of Goldbach’s Conjecture"
 Useful for benchmarking or sharing a multi-GPU node with other workloads,"A Lock-Free, Fully GPU-Resident Architecture for the Verification of Goldbach’s Conjecture"
 •--start=N : Begin verification from N rather than 4,"A Lock-Free, Fully GPU-Resident Architecture for the Verification of Goldbach’s Conjecture"
" This enables independent range- partitioned jobs to be distributed across separate machines or scheduled as array jobs on HPC clusters, with each job claiming a disjoint slice of the number line","A Lock-Free, Fully GPU-Resident Architecture for the Verification of Goldbach’s Conjecture"
" •--progress : Enable the asynchronous progress-monitor thread, which prints throughput in verified even integers per second and estimated time to completion without blocking GPU dispatch","A Lock-Free, Fully GPU-Resident Architecture for the Verification of Goldbach’s Conjecture"
 •--batch-size=N : Override the number of small primes transferred to the GPU pergoldbach phase1 kernel invocation,"A Lock-Free, Fully GPU-Resident Architecture for the Verification of Goldbach’s Conjecture"
" During Phase 1, the host iterates over the PSMALL candidate primes in contiguous batches of size P BATCH, uploading each batch via cudaMemcpyAsync before launching the kernel","A Lock-Free, Fully GPU-Resident Architecture for the Verification of Goldbach’s Conjecture"
 A larger batch reduces kernel-launch overhead at the cost of higher d p batch VRAM allocation; a smaller batch allows finer interleaving of data transfer and compute on hardware with dedicated DMA engines,"A Lock-Free, Fully GPU-Resident Architecture for the Verification of Goldbach’s Conjecture"
 7,"A Lock-Free, Fully GPU-Resident Architecture for the Verification of Goldbach’s Conjecture"
The program validates VRAM availability and CUDA grid dimension limits for every selected GPU before spawning any worker threads,"A Lock-Free, Fully GPU-Resident Architecture for the Verification of Goldbach’s Conjecture"
" If any GPU lacks sufficient resources for the requested segment size, the program reports a descriptive error and exits immediately, preventing deep- execution OOM crashes","A Lock-Free, Fully GPU-Resident Architecture for the Verification of Goldbach’s Conjecture"
 3,"A Lock-Free, Fully GPU-Resident Architecture for the Verification of Goldbach’s Conjecture"
6 Reproducibility Checklist The following commands reproduce the 10 13 run reported in Table 1 on a four-GPU system: apt - get update && apt - get install -y cmake libgmp - dev libomp - dev git g++ # Clone the repository git clone https :// github ,"A Lock-Free, Fully GPU-Resident Architecture for the Verification of Goldbach’s Conjecture"
 com / isaac -6/ goldbach - gpu ,"A Lock-Free, Fully GPU-Resident Architecture for the Verification of Goldbach’s Conjecture"
 git cd goldbach - gpu # Configure and build mkdir build && cd build cmake ,"A Lock-Free, Fully GPU-Resident Architecture for the Verification of Goldbach’s Conjecture"
,"A Lock-Free, Fully GPU-Resident Architecture for the Verification of Goldbach’s Conjecture"
 - DCMAKE_BUILD_TYPE = Release make -j$( nproc ) # Run the verifier ,"A Lock-Free, Fully GPU-Resident Architecture for the Verification of Goldbach’s Conjecture"
"/ bin / goldbach 10000000000000 \ --seg - size =200000000 \ --p- small =1000000 \ --batch - size =2000000 \ -- gpus =4 All software versions, compiler flags, and runtime parameters are recorded exactly as executed to ensure full reproducibility","A Lock-Free, Fully GPU-Resident Architecture for the Verification of Goldbach’s Conjecture"
 4 Results and Scaling Efficiency All experiments were conducted on a workstation equipped with NVIDIA RTX 5090 GPUs running CUDA 12,"A Lock-Free, Fully GPU-Resident Architecture for the Verification of Goldbach’s Conjecture"
8,"A Lock-Free, Fully GPU-Resident Architecture for the Verification of Goldbach’s Conjecture"
1 on Linux,"A Lock-Free, Fully GPU-Resident Architecture for the Verification of Goldbach’s Conjecture"
" The segment size was fixed at SEG SIZE = 2 · 108 even integers, and PSMALL = 106 for all runs","A Lock-Free, Fully GPU-Resident Architecture for the Verification of Goldbach’s Conjecture"
" By the prime counting function, π(106) = 78,498, meaning exactly 78,498 candidate primes are evaluated per even integer","A Lock-Free, Fully GPU-Resident Architecture for the Verification of Goldbach’s Conjecture"
